Place,28-03-2020
Hartlepool,7
Middlesbrough,19
Redcar and Cleveland,15
Stockton-on-Tees,29
Darlington,14
Halton,12
Warrington,19
Blackburn with Darwen,10
Blackpool,10
"Kingston upon Hull, City of",5
East Riding of Yorkshire,26
North East Lincolnshire,8
North Lincolnshire,7
York,19
Derby,100
Leicester,65
Rutland,2
Nottingham,91
"Herefordshire, County of",25
Telford and Wrekin,23
Stoke-on-Trent,27
Bath and North East Somerset,32
"Bristol, City of",65
North Somerset,31
South Gloucestershire,49
Plymouth,39
Torbay,25
Swindon,18
Peterborough,20
Luton,53
Southend-on-Sea,23
Thurrock,33
Medway,50
Bracknell Forest,17
West Berkshire,36
Reading,27
Slough,69
Windsor and Maidenhead,44
Wokingham,23
Milton Keynes,71
Brighton and Hove,33
Portsmouth,64
Southampton,41
Isle of Wight,10
County Durham,69
Cheshire East,42
Cheshire West and Chester,31
Shropshire,56
Cornwall,0
Cornwall,56
Isles of Scilly,0
Wiltshire,58
Bedford,25
Trafford,64
Central Bedfordshire,48
Northumberland,53
"Bournemouth, Christchurch and Poole",25
Dorset,30
Bolton,33
Bury,40
Manchester,76
Oldham,73
Rochdale,52
Salford,78
Stockport,66
Tameside,52
Wigan,30
Knowsley,19
Liverpool,132
St. Helens,33
Sefton,35
Wirral,40
Barnsley,62
Doncaster,38
Rotherham,57
Sheffield,361
Newcastle upon Tyne,135
North Tyneside,46
South Tyneside,22
Sunderland,68
Birmingham,428
Coventry,54
Dudley,83
Sandwell,116
Solihull,54
Walsall,108
Wolverhampton,141
Bradford,37
Calderdale,15
Kirklees,38
Leeds,95
Wakefield,40
Gateshead,31
City of London,0
Barking and Dagenham,93
Barnet,117
Bexley,102
Brent,295
Bromley,217
Camden,115
Croydon,261
Ealing,241
Enfield,144
Greenwich,148
Hackney,151
Hammersmith and Fulham,124
Haringey,127
Harrow,225
Havering,101
Hillingdon,140
Hounslow,139
Islington,131
Kensington and Chelsea,123
Kingston upon Thames,66
Lambeth,318
Lewisham,188
Merton,141
Newham,195
Redbridge,128
Richmond upon Thames,83
Southwark,319
Sutton,82
Tower Hamlets,160
Waltham Forest,154
Wandsworth,265
Westminster,206
Buckinghamshire,115
Cambridgeshire,85
Cumbria,238
Derbyshire,194
Devon,84
East Sussex,43
Essex,213
Gloucestershire,105
Hampshire,384
Hertfordshire,262
Kent,230
Lancashire,167
Leicestershire,136
Lincolnshire,53
Norfolk,90
Northamptonshire,106
North Yorkshire,75
Nottinghamshire,177
Oxfordshire,121
Somerset,31
Staffordshire,186
Suffolk,74
Surrey,314
Warwickshire,113
West Sussex,110
Worcestershire,108
Ayrshire and Arran,90
Borders,35
Dumfries and Galloway,60
Forth Valley,95
Grampian,52
Highland,36
Lothian,151
Orkney,0
Shetland,27
Western Isles,0
Fife,51
Tayside,107
Greater Glasgow and Clyde,376
Lanarkshire,165
Northern Ireland,324
Betsi Cadwaladr University Health Board,64
Powys Teaching Health Board,19
Hywel Dda University Health Board,54
Aneurin Bevan University Health Board,482
Cardiff and Vale University Health Board,256
Cwm Taf Morgannwg University Health Board,90
Swansea Bay University Health Board,104
