Place,29-03-2020
Hartlepool,11
Middlesbrough,26
Redcar and Cleveland,25
Stockton-on-Tees,34
Darlington,15
Halton,16
Warrington,21
Blackburn with Darwen,12
Blackpool,10
"Kingston upon Hull, City of",9
East Riding of Yorkshire,31
North East Lincolnshire,16
North Lincolnshire,13
York,21
Derby,105
Leicester,65
Rutland,2
Nottingham,97
"Herefordshire, County of",25
Telford and Wrekin,34
Stoke-on-Trent,28
Bath and North East Somerset,36
"Bristol, City of",78
North Somerset,32
South Gloucestershire,53
Plymouth,42
Torbay,30
Swindon,26
Peterborough,21
Luton,63
Southend-on-Sea,24
Thurrock,37
Medway,57
Bracknell Forest,19
West Berkshire,40
Reading,27
Slough,73
Windsor and Maidenhead,48
Wokingham,23
Milton Keynes,82
Brighton and Hove,33
Portsmouth,70
Southampton,43
Isle of Wight,10
County Durham,81
Cheshire East,54
Cheshire West and Chester,34
Shropshire,67
Cornwall,0
Cornwall,64
Isles of Scilly,0
Wiltshire,67
Bedford,32
Trafford,77
Central Bedfordshire,56
Northumberland,61
"Bournemouth, Christchurch and Poole",34
Dorset,36
Bolton,42
Bury,55
Manchester,91
Oldham,82
Rochdale,65
Salford,92
Stockport,79
Tameside,58
Wigan,39
Knowsley,26
Liverpool,157
St. Helens,39
Sefton,45
Wirral,44
Barnsley,70
Doncaster,44
Rotherham,60
Sheffield,387
Newcastle upon Tyne,155
North Tyneside,62
South Tyneside,27
Sunderland,76
Birmingham,513
Coventry,79
Dudley,122
Sandwell,138
Solihull,74
Walsall,125
Wolverhampton,153
Bradford,46
Calderdale,29
Kirklees,60
Leeds,113
Wakefield,54
Gateshead,44
City of London,0
Barking and Dagenham,100
Barnet,119
Bexley,119
Brent,321
Bromley,268
Camden,119
Croydon,289
Ealing,265
Enfield,151
Greenwich,168
Hackney,177
Hammersmith and Fulham,144
Haringey,141
Harrow,251
Havering,105
Hillingdon,163
Hounslow,152
Islington,141
Kensington and Chelsea,141
Kingston upon Thames,82
Lambeth,358
Lewisham,218
Merton,161
Newham,230
Redbridge,143
Richmond upon Thames,94
Southwark,365
Sutton,93
Tower Hamlets,184
Waltham Forest,182
Wandsworth,287
Westminster,226
Buckinghamshire,128
Cambridgeshire,100
Cumbria,292
Derbyshire,210
Devon,91
East Sussex,44
Essex,244
Gloucestershire,107
Hampshire,432
Hertfordshire,282
Kent,253
Lancashire,231
Leicestershire,141
Lincolnshire,72
Norfolk,107
Northamptonshire,126
North Yorkshire,88
Nottinghamshire,193
Oxfordshire,140
Somerset,36
Staffordshire,212
Suffolk,87
Surrey,338
Warwickshire,127
West Sussex,113
Worcestershire,126
Ayrshire and Arran,0
Borders,50
Dumfries and Galloway,63
Forth Valley,94
Grampian,62
Highland,42
Lothian,188
Orkney,0
Shetland,27
Western Isles,0
Fife,58
Tayside,107
Greater Glasgow and Clyde,401
Lanarkshire,184
Northern Ireland,410
Betsi Cadwaladr University Health Board,69
Powys Teaching Health Board,20
Hywel Dda University Health Board,75
Aneurin Bevan University Health Board,514
Cardiff and Vale University Health Board,282
Cwm Taf Morgannwg University Health Board,124
Swansea Bay University Health Board,125
